"recommendationid","steamid","num_games_owned","num_reviews","playtime_forever_min","playtime_last_two_weeks_min","playtime_at_review_min","last_played","language","review","timestamp_created","timestamp_updated","voted_up","votes_up","votes_funny","weighted_vote_score","comment_count","steam_purchase","received_for_free","written_during_early_access","hidden_in_steam_china","steam_china_location"
"223868825","76561198374053208","74","2","50762","3240","50648","1776906886","english","fun game, tooo many racists tho","1776890299","1776890299","True","0","0","0.5","0","True","False","False","",""
"223868890","76561199119416418","93","1","29210","193","29210","1776890344","english","This game is pure ♥♥♥♥♥♥♥♥","1776890388","1776890388","False","0","0","0.5","0","True","False","False","",""
"223869345","76561199480825927","8","3","3136","292","3062","1776912348","english","pretty ♥♥♥♥ game
","1776890886","1776890886","False","0","0","0.5","0","True","False","False","",""
"223869361","76561199013625502","38","1","5507","2911","5415","1776957924","english","10/100","1776890905","1776890905","True","1","0","0.523809552192687988","0","True","False","False","",""
"223869373","76561199131516117","1","1","5136","1032","5058","1776895668","english","dog","1776890925","1776890925","True","1","0","0.523809552192687988","0","True","False","False","",""
"223869380","76561199842024352","2","2","2296","1854","2107","1776906071","english","its good","1776890933","1776890933","True","0","0","0.5","0","True","False","False","",""
"223869483","76561199636452861","0","1","18831","670","18802","1776892222","english","good","1776891052","1776891052","True","0","0","0.5","0","True","False","False","",""
"223869612","76561198712634107","1","1","955","955","923","1776892475","english","best","1776891202","1776891202","True","0","0","0.5","0","True","False","False","",""
"223869654","76561198190499778","0","2","127133","1309","126957","1776911987","english","very gud very brain draining","1776891239","1776891239","True","0","0","0.5","0","True","False","False","",""
"223869856","76561199760822897","0","1","1778","516","1725","1776950969","english","I do recommend this game but only if no russian teammates","1776891432","1776891432","True","0","0","0.5","0","True","False","False","",""
"223870200","76561198776525288","0","1","9385","776","9361","1776955604","english","beste spiele","1776891795","1776891795","True","0","0","0.5","0","True","False","False","",""
"223870379","76561199409133627","2","1","9704","2890","9610","1776899721","english","a toxic relationship","1776892018","1776892018","True","0","0","0.5","0","True","False","False","",""
"223870514","76561199206145251","43","2","50378","5086","50352","1776899012","english","russians, romanians, cheaters, annoying kids in your lobby, what isnt to love i log onto my favourite game after a long day to get shouted at by angry foreign people and i love every minute","1776892159","1776892159","True","0","0","0.5","0","True","False","False","",""
"223870845","76561199057244964","2","1","18079","323","18079","1776618003","english","Gg","1776892556","1776892556","True","0","0","0.5","0","True","False","False","",""
"223870942","76561199229660225","0","16","492","448","415","1776904420","english","terrorists","1776892663","1776892663","True","0","0","0.5","0","True","False","False","",""
"223871450","76561199809926655","6","1","12331","887","11978","1776943146","english","nustokite mėtyti man į komandą tuos rusiškus debilus, aš noriu žaisti su adekvačiais žmonėmis, o ne su sušiktomis kiaulėmis.","1776893257","1776893257","False","0","0","0.5","0","True","False","False","",""
"223871555","76561198893618935","0","2","1495","0","1495","1710434764","english","its fun will make you lose your mind and rage but its a good game","1776893399","1776893399","True","0","0","0.5","0","True","False","False","",""
"223871755","76561199248255036","11","12","2389","2128","2329","1776900935","english","this game will make you want to kill your self but also makes you not want to kill yourself","1776893631","1776893631","True","0","0","0.5","0","True","False","False","",""
"223871939","76561199222789811","0","2","567","38","567","1776541396","english","its counter strike","1776893873","1776893873","True","0","0","0.5","0","True","False","False","",""
"223872003","76561199236288956","19","1","27830","288","27604","1776907826","english","good
","1776893952","1776893952","True","0","0","0.5","0","True","False","False","",""
"223872203","76561199073349659","5","1","34261","5740","34162","1776956696","english","i see people have insane game sense that they shoot me a wallbang thro smoke and wall","1776894213","1776894213","True","0","0","0.5","0","True","False","False","",""
"223872274","76561199014110894","56","1","10876","3670","10876","1776887104","english","♥♥♥♥ game enter hear suka blyat then get killed by teammate then hit good shot then enemy team rage hack lose your ♥♥♥♥ and your religion destroy pc and go goon","1776894313","1776894313","True","0","1","0.523809552192687988","0","True","False","False","",""
"223872279","76561199128735534","6","1","31948","579","31913","1776894838","english","Very good and fun game","1776894317","1776894317","True","0","0","0.5","0","True","False","False","",""
"223872288","76561199370952024","1","1","38236","0","38236","1772223730","english","good game","1776894329","1776894329","True","0","0","0.5","0","True","False","False","",""
"223872336","76561199067202859","0","10","2789","1882","2531","1776914236","english","ass","1776894394","1776894394","False","0","0","0.5","0","True","False","False","",""
"223872431","76561199884584346","0","3","8813","1291","8684","1776936763","english","i like the game W","1776894510","1776894510","True","0","0","0.5","0","True","False","False","",""
"223872448","76561198180669997","0","1","66018","0","66018","1759047565","english","good game","1776894528","1776894528","True","0","0","0.5","0","True","False","False","",""
"223872514","76561198031201663","0","3","550","177","507","1776897815","english","fun","1776894617","1776894617","True","0","0","0.5","0","True","False","False","",""
"223872556","76561198986112347","31","1","11775","446","11775","1776893890","english","became ♥♥♥♥ since csgo","1776894683","1776894683","True","0","0","0.5","0","True","False","False","",""
"223872642","76561199223569901","0","1","15935","141","15831","1776955478","english","very good game but 1.6 better","1776894794","1776894794","True","0","0","0.5","0","True","False","False","",""
"223872814","76561198719903458","1","1","1839","1839","1839","1776676244","english","this game sucks yet i play it","1776895042","1776895042","True","0","0","0.5","0","True","False","False","",""
